company_name,pipeline_asset_count,marketed_asset_count,track_priority,notes
Mundipharma AB,2,0,,
Stempeutics Research Pvt Ltd,2,0,,
LG Life Sciences,2,0,,
"Transdermal Therapeutics, Inc.",2,0,,
Guizhou Bailing Group Pharmaceutical Co Ltd,2,0,,
Baxter Healthcare Corporation,2,0,,
"Janssen Pharmaceutica N.V., Belgium",2,0,,
Green Cross Corporation,1,1,,
"Dong-A Pharmaceutical Co., Ltd.",2,0,,
"Alza Corporation, DE, USA",2,0,,
Stryker Biotech,2,0,,
Logical Therapeutics,2,0,,
Mantecorp Industria Quimica e Farmaceutica Ltd.,2,0,,
"E.R. Squibb & Sons, L.L.C.",0,2,,
Proficient Rx LP,0,2,,
"CarthroniX, Inc.",1,0,,
Axolotl Biologix,1,0,,
"Hangzhou Sciwind Biosciences Co., Ltd.",1,0,,
"Overseas Pharmaceuticals, Ltd.",1,0,,
"Fujian Shengdi Pharmaceutical Co., Ltd.",1,0,,
CellSeed Inc.,1,0,,
Taiwan Bio Therapeutics Inc.,1,0,,
KAZM Pharmaceuticals Inc.,1,0,,
Enlivex Therapeutics Ltd.,1,0,,
"PharmaResearch Co.,Ltd",1,0,,
Doron Therapeutics Inc.,1,0,,
Organogenesis,1,0,,
Cellcolabs Clinical SPV Limited,1,0,,
TricelX Inc.,1,0,,
"Biosplice Therapeutics, Inc.",1,0,Yes - shortlist,"Lorecivivint (SM04690) - leading Wnt-pathway DMOAD candidate, Phase 3"
Avidence Therapeutics,1,0,,
ICM Biotech Australia Pty Ltd.,1,0,,
ICM Co. Ltd.,1,0,,
Contineum Therapeutics,1,0,,
CrannMed,1,0,,
Halyard Health,1,0,,
"InGeneron, Inc.",1,0,,
"Merit Medical Systems, Inc.",1,0,,
Synartro AB,1,0,,
RegenLab France SAS,1,0,,
"DALIM TISSEN Co., Ltd.",1,0,,
"Akorn, Inc.",1,0,,
"Amneal Pharmaceuticals, LLC",1,0,,
HALEON,1,0,,
Tanabe Pharma Corporation,1,0,,
Cytonics Corporation,1,0,,
"Sclnow Biotechnology Co., Ltd.",1,0,,
UnicoCell Biomed CO. LTD,1,0,,
Levicept,1,0,Yes - shortlist,"LEVI-04 - anti-NGF/p75 receptor fusion, differentiated mechanism vs. tanezumab/fasinumab"
"Belief BioMed (Beijing) Co., Ltd",1,0,,
"Immunis, Inc.",1,0,,
Hope Biosciences Research Foundation,1,0,,
Scarcell Therapeutics S.A.S.,1,0,,
"Anterogen Co., Ltd.",1,0,,
"BioTissue Holdings, Inc",1,0,,
"Ageless Biotech, Inc.",1,0,,
Magellan Stem Cells,1,0,,
Xindu Pty Ltd,1,0,,
"Nuwacell Biotechnologies Co., Ltd.",1,0,,
Glaceum,1,0,,
Peptinov SAS,1,0,,
Daiichi Sankyo,1,0,,
"Shanghai Qisheng Biological Preparation Co., Ltd.",1,0,,
4B Technologies Limited,1,0,,
NPO Petrovax,1,0,,
"Xalud Therapeutics, Inc.",1,0,,
KeyBioscience AG,1,0,,
"Akan Biosciences, LLC",1,0,,
Mucos Pharma GmbH & Co. KG,1,0,,
Astellas Pharma Europe B.V.,1,0,,
Eccogene,1,0,,
R3 Medical Research,1,0,,
Sun Pharmaceutical Industries Limited,1,0,,
Frontier Biotechnologies Inc.,1,0,,
Eupraxia Pharmaceuticals Inc.,1,0,Yes - shortlist,"EP-104IAR - extended-release intra-articular steroid, clinical-stage"
CELL Technologies Inc.,1,0,,
OliPass Corporation,1,0,,
BUZZZ Pharmaceuticals Limited,1,0,,
"Jiangsu XinChen-Techfields Pharma Co., LTD.",1,0,,
Lina Xu,1,0,,
Techfields Pharma Co. Ltd,1,0,,
"Orient Europharma Co., Ltd.",1,0,,
SPA Società Prodotti Antibiotici S.p.A.,1,0,,
"MiMedx Group, Inc.",1,0,,
Cytopeutics Sdn. Bhd.,1,0,,
"Meridigen Biotech Co., Ltd.",1,0,,
TRB Chemedica International SA,1,0,,
"Kang Stem Biotech Co., Ltd.",1,0,,
"Gwo Xi Stem Cell Applied Technology Co., Ltd.",1,0,,
Xgene Pharmaceutical Group,1,0,,
Celltex Therapeutics Corporation,1,0,,
StemMedical A/S,1,0,,
"Zogenix, Inc.",1,0,,
Steminent Biotherapeutics Inc.,1,0,,
Exactech,1,0,,
Galderma R&D,1,0,,
BioIntegrate,1,0,,
General Therapeutics,1,0,,
Mylan Pharmaceuticals Private Limited,1,0,,
"Unity Biotechnology, Inc.",1,0,Yes - shortlist,"UBX0101 - senolytic, failed Phase 2 but historically notable; watch for pivots"
AKL Research and Development,1,0,,
Seikagaku Corporation,1,0,,
CARE ARTHRITIS LTD.,1,0,,
Bayer,1,0,,
Regenerative Orthopedics and Sports Medicine,1,0,,
Nektar Therapeutics,1,0,,
Lakefront Biotherapeutics NV,1,0,,
"VIVEX Biologics, Inc.",1,0,,
IBSA Institut Biochimique SA,1,0,,
"Cara Therapeutics, Inc.",1,0,,
Vertex Pharmaceuticals Incorporated,1,0,,
Janssen-Cilag International NV,1,0,,
"Personalized Stem Cells, Inc.",1,0,,
Meluha Life Sciences SDN BHD,1,0,,
"Clinica Santa Clarita, Mexico",1,0,,
"EMD Serono Research & Development Institute, Inc.",1,0,,
Zimmer Biomet,1,0,,
Velico Medical,1,0,,
"TCI Co., Ltd.",1,0,,
EMO Biomedicine Corporation,1,0,,
AbbVie,1,0,,
Swiss Medica XXI Century S.A.,1,0,,
Medivir,1,0,,
Sublimed,1,0,,
Reiley Pharmaceuticals Inc.,1,0,,
"Axsome Therapeutics, Inc.",1,0,,
Lynk Biotechnologies Pte Ltd,1,0,,
"Applied Biologics, LLC",1,0,,
Pierre Fabre Medicament,1,0,,
Prairie Plant Systems Inc.,1,0,,
Biologische Heilmittel Heel GmbH,1,0,,
"Ono Pharmaceutical Co., Ltd.",1,0,,
Thrombotargets Europe S.L,1,0,,
Can-Fite BioPharma,1,0,,
"Janssen Scientific Affairs, LLC",1,0,,
Ageless Regenerative Institute,1,0,,
"Olatec Therapeutics, Inc.",1,0,,
UCB Pharma,1,0,,
"Tedec-Meiji Farma, S.A.",1,0,,
Glenmark Pharmaceuticals Ltd. India,1,0,,
"Shenzhen Hornetcorn Bio-technology Company, LTD",1,0,,
"Bioheart, Inc.",1,0,,
"Ortho-McNeil Janssen Scientific Affairs, LLC",1,0,,
DePuy Mitek,1,0,,
"Charleston Laboratories, Inc",1,0,,
Mundipharma Pharmaceuticals Sdn. Bhd.,1,0,,
Mundipharma Pte Ltd.,1,0,,
Cropper Medical,1,0,,
"AFT Pharmaceuticals, Ltd.",1,0,,
Pain Therapeutics,1,0,,
Proximagen Limited,1,0,,
"Iroko Pharmaceuticals, LLC",1,0,,
Mundipharma (China) Pharmaceutical Co. Ltd,1,0,,
Norpharma A/S,1,0,,
Mundipharma Korea Ltd,1,0,,
"Hisamitsu Pharmaceutical Co., Inc.",1,0,,
XOMA (US) LLC,1,0,,
Akron Molecules AG,1,0,,
"Calosyn Pharma, Inc.",1,0,,
Cephalon,1,0,,
Zalicus,1,0,,
C4Pain,1,0,,
"Janssen-Cilag Ltd.,Thailand",1,0,,
Gebro Pharma GmbH,1,0,,
"Bausch Health Americas, Inc.",1,0,,
"Korea Otsuka Pharmaceutical Co., Ltd.",1,0,,
Procter and Gamble,1,0,,
Johnson & Johnson Consumer and Personal Products Worldwide,1,0,,
Analgesic Solutions,1,0,,
Pharmos,1,0,,
NicOx,1,0,,
Winston Laboratories,1,0,,
ESBATech AG,1,0,,
Takeda,1,0,,
Laboratoires Expanscience S.A.,1,0,,
Cura Biotech LLC,1,0,,
PLx Pharma,1,0,,
Marigot Ltd.,1,0,,
Mundipharma K.K.,1,0,,
Solvay Pharmaceuticals,1,0,,
"NuCare Pharmaceuticals,Inc.",0,1,,
REMEDYREPACK INC.,0,1,,
Organon LLC,0,1,,
Sportpharm LLC,0,1,,
Zyla Life Sciences US LLC,0,1,,
"Chartwell RX, LLC",0,1,,
"Acella Pharmaceuticals, LLC",0,1,,
Zameer Pharmaceuticals LLC,0,1,,
Almatica Pharma LLC,0,1,,
Alvogen Inc.,0,1,,
"SA3, LLC",0,1,,
"Upsher-Smith Laboratories, LLC",0,1,,
"Advanced Rx Pharmacy of Tennessee, LLC",0,1,,
Pfizer Laboratories Div Pfizer Inc,0,1,,
Viatris Specialty LLC,0,1,,
"Avondale Pharmaceuticals, LLC",0,1,,
"Emerald Therapeutics, LLC",0,1,,
"Redmont Pharmaceuticals, LLC",0,1,,
"Pacira Pharmaceuticals, Inc.",0,1,,
"Carwin Pharmaceutical Associates, LLC",0,1,,
"SOLA Pharmaceuticals, LLC",0,1,,
GSK (OTC),0,1,,
various,0,1,,
Mitsubishi Tanabe / Horizon Therapeutics,0,1,,
Horizon Therapeutics,0,1,,
Horizon Therapeutics / Kowa,0,1,,
Cadence / Kye Pharmaceuticals,0,1,,
Pfizer (mostly genericized),0,1,,
Boehringer Ingelheim (mostly genericized),0,1,,
Eli Lilly (mostly genericized),0,1,,
Iroko Pharmaceuticals,0,1,,
